File,Label
7UIJ_H_L_CD_1.pdb,2
7UIJ_H_L_CD_2.pdb,2
7UIJ_H_L_CD_3.pdb,2
7UIJ_H_L_CD_4.pdb,2
7UIJ_H_L_CD_5.pdb,2
7UIJ_H_L_CD_6.pdb,2
7UIJ_H_L_CD_7.pdb,2
7UIJ_H_L_CD_8.pdb,2
7UIJ_H_L_CD_9.pdb,2
7UIJ_H_L_CD_10.pdb,2
7UIJ_H_L_CD_11.pdb,2
7UIJ_H_L_CD_12.pdb,2
7UIJ_H_L_CD_13.pdb,2
7UIJ_H_L_CD_14.pdb,2
7UIJ_H_L_CD_15.pdb,2
7UIJ_H_L_CD_16.pdb,2
7UIJ_H_L_CD_17.pdb,2
7UIJ_H_L_CD_18.pdb,2
7UIJ_H_L_CD_19.pdb,2
7UIJ_H_L_CD_20.pdb,2
7UIJ_H_L_CD_21.pdb,2
7UIJ_H_L_CD_22.pdb,2
7UIJ_H_L_CD_23.pdb,2
7UIJ_H_L_CD_24.pdb,2
7UIJ_H_L_CD_25.pdb,2
7UIJ_H_L_CD_26.pdb,2
7UIJ_H_L_CD_27.pdb,2
7UIJ_H_L_CD_28.pdb,2
7UIJ_H_L_CD_29.pdb,2
7UIJ_H_L_CD_30.pdb,2
7UIJ_H_L_CD_31.pdb,2
7UIJ_H_L_CD_32.pdb,2
7UIJ_H_L_CD_33.pdb,2
7UIJ_H_L_CD_34.pdb,2
7UIJ_H_L_CD_35.pdb,2
7UIJ_H_L_CD_36.pdb,2
7UIJ_H_L_CD_37.pdb,2
7UIJ_H_L_CD_38.pdb,2
7UIJ_H_L_CD_39.pdb,2
7UIJ_H_L_CD_40.pdb,2
7UIJ_H_L_CD_41.pdb,2
7UIJ_H_L_CD_42.pdb,2
7UIJ_H_L_CD_43.pdb,2
7UIJ_H_L_CD_44.pdb,2
7UIJ_H_L_CD_45.pdb,2
7UIJ_H_L_CD_46.pdb,2
7UIJ_H_L_CD_47.pdb,2
7UIJ_H_L_CD_48.pdb,2
7UIJ_H_L_CD_49.pdb,2
7UIJ_H_L_CD_50.pdb,2
7UIJ_H_L_CD_51.pdb,2
7UIJ_H_L_CD_52.pdb,2
7UIJ_H_L_CD_53.pdb,2
7UIJ_H_L_CD_54.pdb,2
7UIJ_H_L_CD_55.pdb,2
7UIJ_H_L_CD_56.pdb,2
7UIJ_H_L_CD_57.pdb,2
7UIJ_H_L_CD_58.pdb,2
7UIJ_H_L_CD_59.pdb,2
7UIJ_H_L_CD_60.pdb,2
7UIJ_H_L_CD_61.pdb,2
7UIJ_H_L_CD_62.pdb,2
7UIJ_H_L_CD_63.pdb,2
7UIJ_H_L_CD_64.pdb,2
7UIJ_H_L_CD_65.pdb,2
7UIJ_H_L_CD_66.pdb,2
7UIJ_H_L_CD_67.pdb,2
7UIJ_H_L_CD_68.pdb,2
7UIJ_H_L_CD_69.pdb,2
7UIJ_H_L_CD_70.pdb,2
7UIJ_H_L_CD_71.pdb,2
7UIJ_H_L_CD_72.pdb,2
7UIJ_H_L_CD_73.pdb,2
7UIJ_H_L_CD_74.pdb,2
7UIJ_H_L_CD_75.pdb,2
7UIJ_H_L_CD_76.pdb,2
7UIJ_H_L_CD_77.pdb,2
7UIJ_H_L_CD_78.pdb,2
7UIJ_H_L_CD_79.pdb,2
7UIJ_H_L_CD_80.pdb,2
7UIJ_H_L_CD_81.pdb,2
7UIJ_H_L_CD_82.pdb,2
7UIJ_H_L_CD_83.pdb,2
7UIJ_H_L_CD_84.pdb,2
7UIJ_H_L_CD_85.pdb,2
7UIJ_H_L_CD_86.pdb,2
7UIJ_H_L_CD_87.pdb,2
7UIJ_H_L_CD_88.pdb,2
7UIJ_H_L_CD_89.pdb,2
7UIJ_H_L_CD_90.pdb,2
7UIJ_H_L_CD_91.pdb,2
7UIJ_H_L_CD_92.pdb,2
7UIJ_H_L_CD_93.pdb,2
7UIJ_H_L_CD_94.pdb,2
7UIJ_H_L_CD_95.pdb,2
7UIJ_H_L_CD_96.pdb,2
7UIJ_H_L_CD_97.pdb,2
7UIJ_H_L_CD_98.pdb,2
7UIJ_H_L_CD_99.pdb,2
7UIJ_H_L_CD_100.pdb,2
