File,Label
7Y9T_D_#_AB_1.pdb,2
7Y9T_D_#_AB_2.pdb,2
7Y9T_D_#_AB_3.pdb,2
7Y9T_D_#_AB_4.pdb,2
7Y9T_D_#_AB_5.pdb,2
7Y9T_D_#_AB_6.pdb,2
7Y9T_D_#_AB_7.pdb,2
7Y9T_D_#_AB_8.pdb,2
7Y9T_D_#_AB_9.pdb,2
7Y9T_D_#_AB_10.pdb,2
7Y9T_D_#_AB_11.pdb,2
7Y9T_D_#_AB_12.pdb,2
7Y9T_D_#_AB_13.pdb,2
7Y9T_D_#_AB_14.pdb,2
7Y9T_D_#_AB_15.pdb,2
7Y9T_D_#_AB_16.pdb,2
7Y9T_D_#_AB_17.pdb,2
7Y9T_D_#_AB_18.pdb,2
7Y9T_D_#_AB_19.pdb,2
7Y9T_D_#_AB_20.pdb,2
7Y9T_D_#_AB_21.pdb,2
7Y9T_D_#_AB_22.pdb,2
7Y9T_D_#_AB_23.pdb,2
7Y9T_D_#_AB_24.pdb,2
7Y9T_D_#_AB_25.pdb,2
7Y9T_D_#_AB_26.pdb,2
7Y9T_D_#_AB_27.pdb,2
7Y9T_D_#_AB_28.pdb,2
7Y9T_D_#_AB_29.pdb,2
7Y9T_D_#_AB_30.pdb,2
7Y9T_D_#_AB_31.pdb,2
7Y9T_D_#_AB_32.pdb,2
7Y9T_D_#_AB_33.pdb,2
7Y9T_D_#_AB_34.pdb,2
7Y9T_D_#_AB_35.pdb,2
7Y9T_D_#_AB_36.pdb,2
7Y9T_D_#_AB_37.pdb,2
7Y9T_D_#_AB_38.pdb,2
7Y9T_D_#_AB_39.pdb,2
7Y9T_D_#_AB_40.pdb,2
7Y9T_D_#_AB_41.pdb,2
7Y9T_D_#_AB_42.pdb,2
7Y9T_D_#_AB_43.pdb,2
7Y9T_D_#_AB_44.pdb,2
7Y9T_D_#_AB_45.pdb,2
7Y9T_D_#_AB_46.pdb,2
7Y9T_D_#_AB_47.pdb,2
7Y9T_D_#_AB_48.pdb,2
7Y9T_D_#_AB_49.pdb,2
7Y9T_D_#_AB_50.pdb,2
7Y9T_D_#_AB_51.pdb,2
7Y9T_D_#_AB_52.pdb,2
7Y9T_D_#_AB_53.pdb,2
7Y9T_D_#_AB_54.pdb,2
7Y9T_D_#_AB_55.pdb,2
7Y9T_D_#_AB_56.pdb,2
7Y9T_D_#_AB_57.pdb,2
7Y9T_D_#_AB_58.pdb,2
7Y9T_D_#_AB_59.pdb,2
7Y9T_D_#_AB_60.pdb,2
7Y9T_D_#_AB_61.pdb,2
7Y9T_D_#_AB_62.pdb,2
7Y9T_D_#_AB_63.pdb,2
7Y9T_D_#_AB_64.pdb,2
7Y9T_D_#_AB_65.pdb,2
7Y9T_D_#_AB_66.pdb,2
7Y9T_D_#_AB_67.pdb,2
7Y9T_D_#_AB_68.pdb,2
7Y9T_D_#_AB_69.pdb,2
7Y9T_D_#_AB_70.pdb,2
7Y9T_D_#_AB_71.pdb,2
7Y9T_D_#_AB_72.pdb,2
7Y9T_D_#_AB_73.pdb,2
7Y9T_D_#_AB_74.pdb,2
7Y9T_D_#_AB_75.pdb,2
7Y9T_D_#_AB_76.pdb,2
7Y9T_D_#_AB_77.pdb,2
7Y9T_D_#_AB_78.pdb,2
7Y9T_D_#_AB_79.pdb,2
7Y9T_D_#_AB_80.pdb,2
7Y9T_D_#_AB_81.pdb,2
7Y9T_D_#_AB_82.pdb,2
7Y9T_D_#_AB_83.pdb,2
7Y9T_D_#_AB_84.pdb,2
7Y9T_D_#_AB_85.pdb,2
7Y9T_D_#_AB_86.pdb,2
7Y9T_D_#_AB_87.pdb,2
7Y9T_D_#_AB_88.pdb,2
7Y9T_D_#_AB_89.pdb,2
7Y9T_D_#_AB_90.pdb,2
7Y9T_D_#_AB_91.pdb,2
7Y9T_D_#_AB_92.pdb,2
7Y9T_D_#_AB_93.pdb,2
7Y9T_D_#_AB_94.pdb,2
7Y9T_D_#_AB_95.pdb,2
7Y9T_D_#_AB_96.pdb,2
7Y9T_D_#_AB_97.pdb,2
7Y9T_D_#_AB_98.pdb,2
7Y9T_D_#_AB_99.pdb,2
7Y9T_D_#_AB_100.pdb,2
