File,Label
8BW0_H_L_C_1.pdb,2
8BW0_H_L_C_2.pdb,2
8BW0_H_L_C_3.pdb,2
8BW0_H_L_C_4.pdb,2
8BW0_H_L_C_5.pdb,2
8BW0_H_L_C_6.pdb,2
8BW0_H_L_C_7.pdb,2
8BW0_H_L_C_8.pdb,2
8BW0_H_L_C_9.pdb,2
8BW0_H_L_C_10.pdb,2
8BW0_H_L_C_11.pdb,2
8BW0_H_L_C_12.pdb,2
8BW0_H_L_C_13.pdb,2
8BW0_H_L_C_14.pdb,2
8BW0_H_L_C_15.pdb,2
8BW0_H_L_C_16.pdb,2
8BW0_H_L_C_17.pdb,2
8BW0_H_L_C_18.pdb,2
8BW0_H_L_C_19.pdb,2
8BW0_H_L_C_20.pdb,2
8BW0_H_L_C_21.pdb,2
8BW0_H_L_C_22.pdb,2
8BW0_H_L_C_23.pdb,2
8BW0_H_L_C_24.pdb,2
8BW0_H_L_C_25.pdb,2
8BW0_H_L_C_26.pdb,2
8BW0_H_L_C_27.pdb,2
8BW0_H_L_C_28.pdb,2
8BW0_H_L_C_29.pdb,2
8BW0_H_L_C_30.pdb,2
8BW0_H_L_C_31.pdb,2
8BW0_H_L_C_32.pdb,2
8BW0_H_L_C_33.pdb,2
8BW0_H_L_C_34.pdb,2
8BW0_H_L_C_35.pdb,2
8BW0_H_L_C_36.pdb,2
8BW0_H_L_C_37.pdb,2
8BW0_H_L_C_38.pdb,2
8BW0_H_L_C_39.pdb,2
8BW0_H_L_C_40.pdb,2
8BW0_H_L_C_41.pdb,2
8BW0_H_L_C_42.pdb,2
8BW0_H_L_C_43.pdb,2
8BW0_H_L_C_44.pdb,2
8BW0_H_L_C_45.pdb,2
8BW0_H_L_C_46.pdb,2
8BW0_H_L_C_47.pdb,2
8BW0_H_L_C_48.pdb,2
8BW0_H_L_C_49.pdb,2
8BW0_H_L_C_50.pdb,2
8BW0_H_L_C_51.pdb,2
8BW0_H_L_C_52.pdb,2
8BW0_H_L_C_53.pdb,2
8BW0_H_L_C_54.pdb,2
8BW0_H_L_C_55.pdb,2
8BW0_H_L_C_56.pdb,2
8BW0_H_L_C_57.pdb,2
8BW0_H_L_C_58.pdb,2
8BW0_H_L_C_59.pdb,2
8BW0_H_L_C_60.pdb,2
8BW0_H_L_C_61.pdb,2
8BW0_H_L_C_62.pdb,2
8BW0_H_L_C_63.pdb,2
8BW0_H_L_C_64.pdb,2
8BW0_H_L_C_65.pdb,2
8BW0_H_L_C_66.pdb,2
8BW0_H_L_C_67.pdb,2
8BW0_H_L_C_68.pdb,2
8BW0_H_L_C_69.pdb,2
8BW0_H_L_C_70.pdb,2
8BW0_H_L_C_71.pdb,2
8BW0_H_L_C_72.pdb,2
8BW0_H_L_C_73.pdb,2
8BW0_H_L_C_74.pdb,2
8BW0_H_L_C_75.pdb,2
8BW0_H_L_C_76.pdb,2
8BW0_H_L_C_77.pdb,2
8BW0_H_L_C_78.pdb,2
8BW0_H_L_C_79.pdb,2
8BW0_H_L_C_80.pdb,2
8BW0_H_L_C_81.pdb,2
8BW0_H_L_C_82.pdb,2
8BW0_H_L_C_83.pdb,2
8BW0_H_L_C_84.pdb,2
8BW0_H_L_C_85.pdb,2
8BW0_H_L_C_86.pdb,2
8BW0_H_L_C_87.pdb,2
8BW0_H_L_C_88.pdb,2
8BW0_H_L_C_89.pdb,2
8BW0_H_L_C_90.pdb,2
8BW0_H_L_C_91.pdb,2
8BW0_H_L_C_92.pdb,2
8BW0_H_L_C_93.pdb,2
8BW0_H_L_C_94.pdb,2
8BW0_H_L_C_95.pdb,2
8BW0_H_L_C_96.pdb,2
8BW0_H_L_C_97.pdb,2
8BW0_H_L_C_98.pdb,2
8BW0_H_L_C_99.pdb,2
8BW0_H_L_C_100.pdb,2
