File,Label
8C3L_D_#_C_1.pdb,2
8C3L_D_#_C_2.pdb,2
8C3L_D_#_C_3.pdb,2
8C3L_D_#_C_4.pdb,2
8C3L_D_#_C_5.pdb,2
8C3L_D_#_C_6.pdb,2
8C3L_D_#_C_7.pdb,2
8C3L_D_#_C_8.pdb,2
8C3L_D_#_C_9.pdb,2
8C3L_D_#_C_10.pdb,2
8C3L_D_#_C_11.pdb,2
8C3L_D_#_C_12.pdb,2
8C3L_D_#_C_13.pdb,2
8C3L_D_#_C_14.pdb,2
8C3L_D_#_C_15.pdb,2
8C3L_D_#_C_16.pdb,2
8C3L_D_#_C_17.pdb,2
8C3L_D_#_C_18.pdb,2
8C3L_D_#_C_19.pdb,2
8C3L_D_#_C_20.pdb,2
8C3L_D_#_C_21.pdb,2
8C3L_D_#_C_22.pdb,2
8C3L_D_#_C_23.pdb,2
8C3L_D_#_C_24.pdb,2
8C3L_D_#_C_25.pdb,2
8C3L_D_#_C_26.pdb,2
8C3L_D_#_C_27.pdb,2
8C3L_D_#_C_28.pdb,2
8C3L_D_#_C_29.pdb,2
8C3L_D_#_C_30.pdb,2
8C3L_D_#_C_31.pdb,2
8C3L_D_#_C_32.pdb,2
8C3L_D_#_C_33.pdb,2
8C3L_D_#_C_34.pdb,2
8C3L_D_#_C_35.pdb,2
8C3L_D_#_C_36.pdb,2
8C3L_D_#_C_37.pdb,2
8C3L_D_#_C_38.pdb,2
8C3L_D_#_C_39.pdb,2
8C3L_D_#_C_40.pdb,2
8C3L_D_#_C_41.pdb,2
8C3L_D_#_C_42.pdb,2
8C3L_D_#_C_43.pdb,2
8C3L_D_#_C_44.pdb,2
8C3L_D_#_C_45.pdb,2
8C3L_D_#_C_46.pdb,2
8C3L_D_#_C_47.pdb,2
8C3L_D_#_C_48.pdb,2
8C3L_D_#_C_49.pdb,2
8C3L_D_#_C_50.pdb,2
8C3L_D_#_C_51.pdb,2
8C3L_D_#_C_52.pdb,2
8C3L_D_#_C_53.pdb,2
8C3L_D_#_C_54.pdb,2
8C3L_D_#_C_55.pdb,2
8C3L_D_#_C_56.pdb,2
8C3L_D_#_C_57.pdb,2
8C3L_D_#_C_58.pdb,2
8C3L_D_#_C_59.pdb,2
8C3L_D_#_C_60.pdb,2
8C3L_D_#_C_61.pdb,2
8C3L_D_#_C_62.pdb,2
8C3L_D_#_C_63.pdb,2
8C3L_D_#_C_64.pdb,2
8C3L_D_#_C_65.pdb,2
8C3L_D_#_C_66.pdb,2
8C3L_D_#_C_67.pdb,2
8C3L_D_#_C_68.pdb,2
8C3L_D_#_C_69.pdb,2
8C3L_D_#_C_70.pdb,2
8C3L_D_#_C_71.pdb,2
8C3L_D_#_C_72.pdb,2
8C3L_D_#_C_73.pdb,2
8C3L_D_#_C_74.pdb,2
8C3L_D_#_C_75.pdb,2
8C3L_D_#_C_76.pdb,2
8C3L_D_#_C_77.pdb,2
8C3L_D_#_C_78.pdb,2
8C3L_D_#_C_79.pdb,2
8C3L_D_#_C_80.pdb,2
8C3L_D_#_C_81.pdb,2
8C3L_D_#_C_82.pdb,2
8C3L_D_#_C_83.pdb,2
8C3L_D_#_C_84.pdb,2
8C3L_D_#_C_85.pdb,2
8C3L_D_#_C_86.pdb,2
8C3L_D_#_C_87.pdb,2
8C3L_D_#_C_88.pdb,2
8C3L_D_#_C_89.pdb,2
8C3L_D_#_C_90.pdb,2
8C3L_D_#_C_91.pdb,2
8C3L_D_#_C_92.pdb,2
8C3L_D_#_C_93.pdb,2
8C3L_D_#_C_94.pdb,2
8C3L_D_#_C_95.pdb,2
8C3L_D_#_C_96.pdb,2
8C3L_D_#_C_97.pdb,2
8C3L_D_#_C_98.pdb,2
8C3L_D_#_C_99.pdb,2
8C3L_D_#_C_100.pdb,2
