File,Label
8C5H_N_#_S_1.pdb,2
8C5H_N_#_S_2.pdb,2
8C5H_N_#_S_3.pdb,2
8C5H_N_#_S_4.pdb,2
8C5H_N_#_S_5.pdb,2
8C5H_N_#_S_6.pdb,2
8C5H_N_#_S_7.pdb,2
8C5H_N_#_S_8.pdb,2
8C5H_N_#_S_9.pdb,2
8C5H_N_#_S_10.pdb,2
8C5H_N_#_S_11.pdb,2
8C5H_N_#_S_12.pdb,2
8C5H_N_#_S_13.pdb,2
8C5H_N_#_S_14.pdb,2
8C5H_N_#_S_15.pdb,2
8C5H_N_#_S_16.pdb,2
8C5H_N_#_S_17.pdb,2
8C5H_N_#_S_18.pdb,2
8C5H_N_#_S_19.pdb,2
8C5H_N_#_S_20.pdb,2
8C5H_N_#_S_21.pdb,2
8C5H_N_#_S_22.pdb,2
8C5H_N_#_S_23.pdb,2
8C5H_N_#_S_24.pdb,2
8C5H_N_#_S_25.pdb,2
8C5H_N_#_S_26.pdb,2
8C5H_N_#_S_27.pdb,2
8C5H_N_#_S_28.pdb,2
8C5H_N_#_S_29.pdb,2
8C5H_N_#_S_30.pdb,2
8C5H_N_#_S_31.pdb,2
8C5H_N_#_S_32.pdb,2
8C5H_N_#_S_33.pdb,2
8C5H_N_#_S_34.pdb,2
8C5H_N_#_S_35.pdb,2
8C5H_N_#_S_36.pdb,2
8C5H_N_#_S_37.pdb,2
8C5H_N_#_S_38.pdb,2
8C5H_N_#_S_39.pdb,2
8C5H_N_#_S_40.pdb,2
8C5H_N_#_S_41.pdb,2
8C5H_N_#_S_42.pdb,2
8C5H_N_#_S_43.pdb,2
8C5H_N_#_S_44.pdb,2
8C5H_N_#_S_45.pdb,2
8C5H_N_#_S_46.pdb,2
8C5H_N_#_S_47.pdb,2
8C5H_N_#_S_48.pdb,2
8C5H_N_#_S_49.pdb,2
8C5H_N_#_S_50.pdb,2
8C5H_N_#_S_51.pdb,2
8C5H_N_#_S_52.pdb,2
8C5H_N_#_S_53.pdb,2
8C5H_N_#_S_54.pdb,2
8C5H_N_#_S_55.pdb,2
8C5H_N_#_S_56.pdb,2
8C5H_N_#_S_57.pdb,2
8C5H_N_#_S_58.pdb,2
8C5H_N_#_S_59.pdb,2
8C5H_N_#_S_60.pdb,2
8C5H_N_#_S_61.pdb,2
8C5H_N_#_S_62.pdb,2
8C5H_N_#_S_63.pdb,2
8C5H_N_#_S_64.pdb,2
8C5H_N_#_S_65.pdb,2
8C5H_N_#_S_66.pdb,2
8C5H_N_#_S_67.pdb,2
8C5H_N_#_S_68.pdb,2
8C5H_N_#_S_69.pdb,2
8C5H_N_#_S_70.pdb,2
8C5H_N_#_S_71.pdb,2
8C5H_N_#_S_72.pdb,2
8C5H_N_#_S_73.pdb,2
8C5H_N_#_S_74.pdb,2
8C5H_N_#_S_75.pdb,2
8C5H_N_#_S_76.pdb,2
8C5H_N_#_S_77.pdb,2
8C5H_N_#_S_78.pdb,2
8C5H_N_#_S_79.pdb,2
8C5H_N_#_S_80.pdb,2
8C5H_N_#_S_81.pdb,2
8C5H_N_#_S_82.pdb,2
8C5H_N_#_S_83.pdb,2
8C5H_N_#_S_84.pdb,2
8C5H_N_#_S_85.pdb,2
8C5H_N_#_S_86.pdb,2
8C5H_N_#_S_87.pdb,2
8C5H_N_#_S_88.pdb,2
8C5H_N_#_S_89.pdb,2
8C5H_N_#_S_90.pdb,2
8C5H_N_#_S_91.pdb,2
8C5H_N_#_S_92.pdb,2
8C5H_N_#_S_93.pdb,2
8C5H_N_#_S_94.pdb,2
8C5H_N_#_S_95.pdb,2
8C5H_N_#_S_96.pdb,2
8C5H_N_#_S_97.pdb,2
8C5H_N_#_S_98.pdb,2
8C5H_N_#_S_99.pdb,2
8C5H_N_#_S_100.pdb,2
