File,Label
8D9Y_B_A_I_1.pdb,2
8D9Y_B_A_I_2.pdb,2
8D9Y_B_A_I_3.pdb,2
8D9Y_B_A_I_4.pdb,2
8D9Y_B_A_I_5.pdb,2
8D9Y_B_A_I_6.pdb,2
8D9Y_B_A_I_7.pdb,2
8D9Y_B_A_I_8.pdb,2
8D9Y_B_A_I_9.pdb,2
8D9Y_B_A_I_10.pdb,2
8D9Y_B_A_I_11.pdb,2
8D9Y_B_A_I_12.pdb,2
8D9Y_B_A_I_13.pdb,2
8D9Y_B_A_I_14.pdb,2
8D9Y_B_A_I_15.pdb,2
8D9Y_B_A_I_16.pdb,2
8D9Y_B_A_I_17.pdb,2
8D9Y_B_A_I_18.pdb,2
8D9Y_B_A_I_19.pdb,2
8D9Y_B_A_I_20.pdb,2
8D9Y_B_A_I_21.pdb,2
8D9Y_B_A_I_22.pdb,2
8D9Y_B_A_I_23.pdb,2
8D9Y_B_A_I_24.pdb,2
8D9Y_B_A_I_25.pdb,2
8D9Y_B_A_I_26.pdb,2
8D9Y_B_A_I_27.pdb,2
8D9Y_B_A_I_28.pdb,2
8D9Y_B_A_I_29.pdb,2
8D9Y_B_A_I_30.pdb,2
8D9Y_B_A_I_31.pdb,2
8D9Y_B_A_I_32.pdb,2
8D9Y_B_A_I_33.pdb,2
8D9Y_B_A_I_34.pdb,2
8D9Y_B_A_I_35.pdb,2
8D9Y_B_A_I_36.pdb,2
8D9Y_B_A_I_37.pdb,2
8D9Y_B_A_I_38.pdb,2
8D9Y_B_A_I_39.pdb,2
8D9Y_B_A_I_40.pdb,2
8D9Y_B_A_I_41.pdb,2
8D9Y_B_A_I_42.pdb,2
8D9Y_B_A_I_43.pdb,2
8D9Y_B_A_I_44.pdb,2
8D9Y_B_A_I_45.pdb,2
8D9Y_B_A_I_46.pdb,2
8D9Y_B_A_I_47.pdb,2
8D9Y_B_A_I_48.pdb,2
8D9Y_B_A_I_49.pdb,2
8D9Y_B_A_I_50.pdb,2
8D9Y_B_A_I_51.pdb,2
8D9Y_B_A_I_52.pdb,2
8D9Y_B_A_I_53.pdb,2
8D9Y_B_A_I_54.pdb,2
8D9Y_B_A_I_55.pdb,2
8D9Y_B_A_I_56.pdb,2
8D9Y_B_A_I_57.pdb,2
8D9Y_B_A_I_58.pdb,2
8D9Y_B_A_I_59.pdb,2
8D9Y_B_A_I_60.pdb,2
8D9Y_B_A_I_61.pdb,2
8D9Y_B_A_I_62.pdb,2
8D9Y_B_A_I_63.pdb,2
8D9Y_B_A_I_64.pdb,2
8D9Y_B_A_I_65.pdb,2
8D9Y_B_A_I_66.pdb,2
8D9Y_B_A_I_67.pdb,2
8D9Y_B_A_I_68.pdb,2
8D9Y_B_A_I_69.pdb,2
8D9Y_B_A_I_70.pdb,2
8D9Y_B_A_I_71.pdb,2
8D9Y_B_A_I_72.pdb,2
8D9Y_B_A_I_73.pdb,2
8D9Y_B_A_I_74.pdb,2
8D9Y_B_A_I_75.pdb,2
8D9Y_B_A_I_76.pdb,2
8D9Y_B_A_I_77.pdb,2
8D9Y_B_A_I_78.pdb,2
8D9Y_B_A_I_79.pdb,2
8D9Y_B_A_I_80.pdb,2
8D9Y_B_A_I_81.pdb,2
8D9Y_B_A_I_82.pdb,2
8D9Y_B_A_I_83.pdb,2
8D9Y_B_A_I_84.pdb,2
8D9Y_B_A_I_85.pdb,2
8D9Y_B_A_I_86.pdb,2
8D9Y_B_A_I_87.pdb,2
8D9Y_B_A_I_88.pdb,2
8D9Y_B_A_I_89.pdb,2
8D9Y_B_A_I_90.pdb,2
8D9Y_B_A_I_91.pdb,2
8D9Y_B_A_I_92.pdb,2
8D9Y_B_A_I_93.pdb,2
8D9Y_B_A_I_94.pdb,2
8D9Y_B_A_I_95.pdb,2
8D9Y_B_A_I_96.pdb,2
8D9Y_B_A_I_97.pdb,2
8D9Y_B_A_I_98.pdb,2
8D9Y_B_A_I_99.pdb,2
8D9Y_B_A_I_100.pdb,2
